City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Varzelandia,BR,-15.7014,-44.0275,70.27,37,2,5.19,clear sky
171,Beihai,CN,21.4833,109.1,86.77,67,5,9.51,clear sky
172,Constitucion,CL,-35.3333,-72.4167,53.17,94,100,8.12,moderate rain
173,Mahibadhoo,MV,3.7833,72.9667,81.64,69,3,5.28,clear sky
174,Boyolangu,ID,-8.1181,111.8935,84.11,61,51,10.31,broken clouds
175,Ballina,AU,-28.8667,153.5667,82.02,36,69,9.08,broken clouds
176,Burkburnett,US,34.0979,-98.5706,79.48,68,0,13.8,clear sky
177,Deniliquin,AU,-35.5333,144.9667,52.59,86,96,17.43,light rain
178,Port Elizabeth,ZA,-33.918,25.5701,61.32,80,0,9.22,clear sky
179,Khandyga,RU,62.6667,135.6,48.65,57,100,7.63,overcast clouds
180,Thompson,CA,55.7435,-97.8558,44.76,87,20,3.44,few clouds
181,Del Rio,US,29.3627,-100.8968,80.71,68,0,6.91,clear sky
182,Along,IN,28.1667,94.7667,82.17,82,97,1.36,overcast clouds
183,Atar,MR,20.5169,-13.0499,79.68,37,1,11.65,clear sky
184,Bonnyville,CA,54.2668,-110.735,55.2,94,100,5.55,overcast clouds
185,Kainantu,PG,-6.2887,145.8655,69.48,77,87,3.67,overcast clouds
186,General Roca,AR,-39.0333,-67.5833,46.62,59,100,19.89,overcast clouds
187,Gribanovskiy,RU,51.4579,41.9764,62.02,64,20,9.6,few clouds
188,Anloga,GH,5.7947,0.8973,76.46,85,100,10.18,overcast clouds
189,Bethel,US,41.3712,-73.414,61.63,85,75,0.0,broken clouds
190,Vyshkov,RU,52.4764,31.6873,56.73,62,100,9.95,overcast clouds
191,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,10.36,broken clouds
192,Nishihara,JP,26.1842,127.7558,83.48,89,75,29.93,broken clouds
193,Sokolo,ML,14.7328,-6.1219,77.77,71,17,7.02,few clouds
194,Wajima,JP,37.4,136.9,86.68,74,75,6.91,broken clouds
195,Villamontes,BO,-21.25,-63.5,62.31,51,0,5.01,clear sky
196,Stralsund,DE,54.3091,13.0818,55.02,87,34,9.31,scattered clouds
197,Linjiang,CN,41.8069,126.9078,73.78,78,73,5.12,broken clouds
