City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Dhidhdhoo,MV,81.36,clear sky,6.8833,73.1,Dhidhoo beach
652,Innisfail,AU,78.48,clear sky,-17.5333,146.0333,Moondarra Motel
656,Adana,TR,84.72,clear sky,36.985,35.2881,ibis Adana
657,Sao Goncalo Do Amarante,BR,79.12,broken clouds,-3.6072,-38.9683,Sunshine Inn
659,Harqalah,TN,78.66,few clouds,36.0303,10.509,Dar Khadija
668,Sinnamary,GF,78.17,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
670,Gizo,SB,83.82,few clouds,-8.103,156.8419,Imagination Island
678,Chardara,KZ,81.32,overcast clouds,41.2547,67.9692,Жанаргул
679,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
681,Khadyzhensk,RU,83.68,overcast clouds,44.4256,39.5319,Guest house Gala
684,Kamina,CD,83.46,few clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
686,Zhangye,CN,79.95,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
687,Dharchula,IN,80.26,overcast clouds,29.85,80.5333,Mahara Hotel
688,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
691,Dallas,US,80.49,clear sky,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
