City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Uray,RU,2022-09-17 01:37:19,60.1247,64.7758,49.06,63,100,9.19
211,Oranjemund,NA,2022-09-17 01:37:19,-28.55,16.4333,54.27,93,8,6.17
212,Jumla,NP,2022-09-17 01:37:19,29.2747,82.1838,60.31,93,100,2.01
213,Todos Santos,MX,2022-09-17 01:37:20,23.45,-110.2167,77.67,92,0,4.74
214,Belebey,RU,2022-09-17 01:37:20,54.1167,54.1167,52.65,92,95,10.38
215,Palaikastron,GR,2022-09-17 01:37:21,35.2,26.25,73.26,64,0,3.0
216,Kaitangata,NZ,2022-09-17 01:33:53,-46.2817,169.8464,55.22,50,8,2.64
217,Fredericksburg,US,2022-09-17 01:34:44,38.3032,-77.4605,68.92,80,0,0.0
218,Coihaique,CL,2022-09-17 01:37:02,-45.5752,-72.0662,36.21,86,0,3.44
219,Muravlenko,RU,2022-09-17 01:37:21,63.7898,74.523,47.88,76,100,11.36
220,Eureka,US,2022-09-17 01:32:28,40.8021,-124.1637,62.92,77,27,5.01
221,Waipawa,NZ,2022-09-17 01:37:22,-41.4122,175.5153,55.26,55,29,2.04
222,Yulara,AU,2022-09-17 01:37:22,-25.2406,130.9889,69.06,23,0,10.56
223,Yavatmal,IN,2022-09-17 01:37:22,20.4,78.1333,72.97,92,99,9.69
224,Mandera,KE,2022-09-17 01:37:23,3.9366,41.867,73.45,68,16,13.49
225,Saint George,US,2022-09-17 01:37:23,37.1041,-113.5841,84.94,29,0,10.36
226,Longyearbyen,SJ,2022-09-17 01:37:23,78.2186,15.6401,31.84,74,75,10.36
227,Kitwe,ZM,2022-09-17 01:34:29,-12.7961,28.2477,61.9,50,52,4.18
228,Pisco,PE,2022-09-17 01:37:24,-13.7,-76.2167,59.05,88,20,9.22
229,Luderitz,NA,2022-09-17 01:37:24,-26.6481,15.1594,61.7,73,93,9.82
230,Jamestown,US,2022-09-17 01:36:32,42.097,-79.2353,65.84,75,0,1.01
231,Torbay,CA,2022-09-17 01:37:25,47.6666,-52.7314,56.39,91,75,12.66
232,Klaksvik,FO,2022-09-17 01:37:25,62.2266,-6.589,49.12,84,100,11.45
233,Port Augusta,AU,2022-09-17 01:38:25,-32.5,137.7667,60.13,50,100,20.24
234,Praia,CV,2022-09-17 01:38:26,14.9215,-23.5087,79.34,89,40,14.97
235,Airai,TL,2022-09-17 01:38:26,-8.9266,125.4092,79.18,25,75,3.0
236,Vestmanna,FO,2022-09-17 01:38:27,62.1564,-7.1664,47.32,81,75,12.66
237,Hithadhoo,MV,2022-09-17 01:36:04,-0.6,73.0833,81.25,74,100,6.44
238,Hobart,AU,2022-09-17 01:38:27,-42.8794,147.3294,58.26,70,75,10.36
239,Koungou,YT,2022-09-17 01:38:27,-12.7336,45.2042,71.31,83,0,8.05
240,Barcelos,PT,2022-09-17 01:38:28,41.5388,-8.6151,67.91,90,92,2.21
241,Dikson,RU,2022-09-17 01:38:28,73.5069,80.5464,32.52,86,21,7.54
242,Mount Isa,AU,2022-09-17 01:38:28,-20.7333,139.5,85.77,15,0,10.36
243,Namatanai,PG,2022-09-17 01:38:29,-3.6667,152.4333,85.41,60,17,8.1
244,Mujiayingzi,CN,2022-09-17 01:38:29,42.1167,118.7833,80.01,32,0,11.77
245,Westport,US,2022-09-17 01:38:29,41.1415,-73.3579,66.74,71,93,3.0
